timestamp,CELLS/Outside/SPN1/Global,timestamp,CELLS/Outside/SPN1/Diffuse,timestamp,CELLS/Outside/SPN1/Sunshine
8:46:00,361.01,8:46:00,87.785,,
8:48:00,364.5633333,8:48:00,87.87,,
8:50:00,370.7645833,8:50:00,88.7745098,,
8:52:00,374.815,8:52:00,88.72166667,,
8:54:00,379.145,8:54:00,88.64,,
8:56:00,383.8783333,8:56:00,88.33833333,,
8:58:00,392.695,8:58:00,90.91833333,,
9:00:00,402.39,9:00:00,94.57833333,,
9:02:00,409.2516667,9:02:00,95.69833333,,
9:04:00,414.965,9:04:00,96.46666667,,
9:06:00,419.94,9:06:00,95.95166667,,
9:08:00,422.28,9:08:00,94.87833333,,
9:10:00,422.2322034,9:10:00,91.68305085,,
9:12:00,428.8933333,9:12:00,92.32166667,,
9:14:00,437.5766667,9:14:00,95.755,,
9:16:00,442.3033333,9:16:00,96.05333333,,
9:18:00,449.51,9:18:00,97.04666667,,
9:20:00,453.7083333,9:20:00,95.91833333,,
9:22:00,460.445,9:22:00,96.84,,
9:24:00,464.6883333,9:24:00,98.76333333,,
9:26:00,470.5533333,9:26:00,98.435,,
9:28:00,479.8216667,9:28:00,99.99833333,,
9:30:00,483.94,9:30:00,98.435,,
9:32:00,491.8166667,9:32:00,101.15,,
9:34:00,499.5288136,9:34:00,102.6508475,,
9:36:00,504.5683333,9:36:00,103.5216667,,
9:38:00,512.0116667,9:38:00,104.7316667,,
9:40:00,514.7183333,9:40:00,103.605,,
9:42:00,517.975,9:42:00,100.4166667,,
9:44:00,526.6583333,9:44:00,103.5233333,,
9:46:00,527.1733333,9:46:00,102.3966667,,
9:48:00,530.225,9:48:00,101.15,,
9:50:00,536.305,9:50:00,102.0116667,,
9:52:00,548.0339623,9:52:00,108.5566038,,
9:54:00,548.1316667,9:54:00,104.52,,
9:56:00,551.2516667,9:56:00,104.125,,
9:58:00,556.2616667,9:58:00,102.6116667,,
10:00:00,560.0066667,10:00:00,102.7816667,,
10:02:00,563.5466667,10:02:00,105.3033333,,
10:04:00,570.97,10:04:00,105.7416667,,
10:06:00,579.4966667,10:06:00,107.54,,
10:08:00,590.2333333,10:08:00,114.445,,
10:10:00,598.3233333,10:10:00,117.4983333,,
10:12:00,600.4133333,10:12:00,115.8633333,,
10:14:00,604.6633333,10:14:00,112.4016667,,
10:16:00,611.8683333,10:16:00,114.5316667,,
10:18:00,616.545,10:18:00,115.6233333,,
10:20:00,619.5766667,10:20:00,111.9333333,,
10:22:00,632.0916667,10:22:00,116.835,,
10:24:00,643.01,10:24:00,123.4383333,,
10:26:00,643.91,10:26:00,120.19,,
10:28:00,647.2883333,10:28:00,119.7716667,,
10:30:00,651.135,10:30:00,122.3933333,,
10:32:00,656.2233333,10:32:00,123.3266667,,
10:34:00,659.62,10:34:00,122.0366667,,
10:36:00,660.925,10:36:00,118.8416667,,
10:38:00,663.6033333,10:38:00,118.1533333,,
10:40:00,673.3166667,10:40:00,125.1416667,,
10:42:00,681.04,10:42:00,127.3033333,,
10:44:00,688.2466667,10:44:00,131.5533333,,
10:46:00,690.685,10:46:00,129.465,,
10:48:00,695.2333333,10:48:00,131.8266667,,
10:50:00,700.26,10:50:00,130.1116667,,
10:52:00,703.8816667,10:52:00,131.6233333,,
10:54:00,712.2666667,10:54:00,137.885,,
10:56:00,719.525,10:56:00,142.4166667,,
10:58:00,723.99,10:58:00,142.8683333,,
11:00:00,732.5833333,11:00:00,147.4266667,,
11:02:00,738.03,11:02:00,150.8866667,,
11:04:00,743.3866667,11:04:00,151.01,,
11:06:00,750.8766667,11:06:00,154.725,,
11:08:00,755.6,11:08:00,157.5216667,,
11:10:00,761.59,11:10:00,160.0966667,,
11:12:00,761.7583333,11:12:00,154.9666667,,
11:14:00,765.6916667,11:14:00,154.3333333,,
11:16:00,765.9766667,11:16:00,152.6633333,,
11:18:00,767.245,11:18:00,153.6833333,,
11:20:00,773.595,11:20:00,157.0466667,,
11:22:00,776.7383333,11:22:00,158.16,,
11:24:00,780.7016667,11:24:00,161.23,,
11:26:00,780.0533333,11:26:00,161.6183333,,
11:28:00,785.4466667,11:28:00,166.9566667,,
11:30:00,785.3866667,11:30:00,164.525,,
11:32:00,786.5116667,11:32:00,164,,
11:34:00,792.29,11:34:00,167.2983333,,
11:36:00,794.3366667,11:36:00,165.215,,
11:38:00,792.69,11:38:00,163.1483333,,
11:40:00,796.2916667,11:40:00,165.8583333,,
11:42:00,798.0566667,11:42:00,169.4966667,,
11:44:00,803.4233333,11:44:00,171.2916667,,
11:46:00,806.56,11:46:00,168.78,,
11:48:00,815.1333333,11:48:00,173.4366667,,
11:50:00,817.2033333,11:50:00,172.175,,
11:52:00,821.3866667,11:52:00,171.6566667,,
11:54:00,816.4933333,11:54:00,164.07,,
11:56:00,817.5883333,11:56:00,158.88,,
11:58:00,822.7283333,11:58:00,159.48,,
12:00:00,826.7,12:00:00,161.19,,
12:02:00,826.2916667,12:02:00,159.93,,
12:04:00,828.6516667,12:04:00,157.5,,
12:06:00,831.3016667,12:06:00,157.86,,
12:08:00,836.2566667,12:08:00,159.66,,
12:10:00,845.3716667,12:10:00,162.48,,
12:12:00,850.6833333,12:12:00,165.3,,
12:14:00,854.65,12:14:00,168.51,,
12:16:00,853.135,12:16:00,168.2133333,,
12:18:00,850.305,12:18:00,165.69,,
12:20:00,843.3283333,12:20:00,161.28,,
12:22:00,848.2333333,12:22:00,161.94,,
12:24:00,850.3116667,12:24:00,161.67,,
12:26:00,848.24,12:26:00,160.23,,
12:28:00,848.265,12:28:00,157.65,,
12:30:00,851.5983333,12:30:00,161.76,,
12:32:00,854.8416667,12:32:00,163.23,,
12:34:00,860.9016667,12:34:00,165.93,,
12:36:00,868.765,12:36:00,174.92,,
12:38:00,871.7883333,12:38:00,175.7133333,,
12:40:00,870.5933333,12:40:00,171.3033333,,
12:42:00,868.7866667,12:42:00,168.09,,
12:44:00,867.4383333,12:44:00,166.8,,
12:46:00,866.825,12:46:00,167.22,,
12:48:00,864.7916667,12:48:00,169.11,,
12:50:00,863.9433333,12:50:00,168.93,,
12:52:00,865.3183333,12:52:00,168.57,,
12:54:00,868.1916667,12:54:00,170.25,,
12:56:00,867.63,12:56:00,169.3816667,,
12:58:00,871.3883333,12:58:00,169.4783333,,
13:00:00,874.6983333,13:00:00,170.065,,
13:02:00,873.89,13:02:00,171.1833333,,
13:04:00,873.51,13:04:00,172.775,,
13:06:00,874.0316667,13:06:00,171.4616667,,
13:08:00,871.155,13:08:00,170.7583333,,
13:10:00,873.045,13:10:00,170.6333333,,
13:12:00,874.2266667,13:12:00,170.7016667,,
13:14:00,876.3266667,13:14:00,171.6933333,,
13:16:00,874.3016667,13:16:00,170.8433333,,
13:18:00,875.325,13:18:00,171.2966667,,
13:20:00,876.4083333,13:20:00,171.6933333,,
13:22:00,876.5166667,13:22:00,173.3366667,,
13:24:00,873.6533333,13:24:00,175.405,,
13:26:00,876.985,13:26:00,179.855,,
13:28:00,872.3416667,13:28:00,180.49,,
13:30:00,872.5566667,13:30:00,182.1116667,,
13:32:00,873.5566667,13:32:00,181.0166667,,
13:34:00,876.5766667,13:34:00,182.8116667,,
13:36:00,879.14,13:36:00,182.2566667,,
13:38:00,877.8466667,13:38:00,180.3766667,,
13:40:00,878.6166667,13:40:00,182.585,,
13:42:00,887.4283333,13:42:00,192.6183333,,
13:44:00,889.4716667,13:44:00,198.7383333,,
13:46:00,888.2216667,13:46:00,197.0383333,,
13:48:00,889.57,13:48:00,199.0216667,,
13:50:00,883.9016667,13:50:00,192.9016667,,
13:52:00,883.97,13:52:00,192.4483333,,
13:54:00,884.6466667,13:54:00,194.265,,
13:56:00,882.935,13:56:00,192.0616667,,
13:58:00,882.27,13:58:00,193.2283333,,
14:00:00,891.1833333,14:00:00,201.6716667,,
14:02:00,894.08,14:02:00,203.455,,
14:04:00,894.1233333,14:04:00,204.6716667,,
14:06:00,887.35,14:06:00,199.1816667,,
14:08:00,889.7916667,14:08:00,203.3,,
14:10:00,889.67,14:10:00,203.7833333,,
14:12:00,880.7733333,14:12:00,195.1066667,,
14:14:00,878.4483333,14:14:00,192.9716667,,
14:16:00,870.5583333,14:16:00,188.74,,
14:18:00,867.33,14:18:00,186.43,,
14:20:00,864.9466667,14:20:00,184.81,,
14:22:00,865.9366667,14:22:00,190.4666667,,
14:24:00,867.9566667,14:24:00,195.6466667,,
14:26:00,862.4,14:26:00,194.0933333,,
14:28:00,858.3533333,14:28:00,193.045,,
14:30:00,851.2833333,14:30:00,191.7233333,,
14:32:00,844.805,14:32:00,187.7383333,,
14:34:00,842.66,14:34:00,187.41,,
14:36:00,845.7616667,14:36:00,192.0916667,,
14:38:00,838.9116667,14:38:00,191.395,,
14:40:00,828.99,14:40:00,186.8,,
14:42:00,827.52,14:42:00,188.0333333,,
14:44:00,823.035,14:44:00,185.3633333,,
14:46:00,816.595,14:46:00,183.7533333,,
14:48:00,812.4666667,14:48:00,181.5816667,,
14:50:00,813.1716667,14:50:00,181.18,,
14:52:00,809.9916667,14:52:00,177.92,,
14:54:00,806.9133333,14:54:00,179.465,,
14:56:00,799.905,14:56:00,179.3483333,,
14:58:00,800.42,14:58:00,180.355,,
15:00:00,796.7,15:00:00,178.7933333,,
15:02:00,794.9883333,15:02:00,177.045,,
15:04:00,789.8333333,15:04:00,179.5616667,,
15:06:00,792.74,15:06:00,182.12,,
15:08:00,789.5266667,15:08:00,179.22,,
15:10:00,785.4033333,15:10:00,177.2683333,,
15:12:00,781.5166667,15:12:00,175.7616667,,
15:14:00,777.9733333,15:14:00,172.1633333,,
15:16:00,775.6633333,15:16:00,171.1683333,,
15:18:00,770.975,15:18:00,171.1633333,,
15:20:00,769.6433333,15:20:00,172.7266667,,
15:22:00,765.53,15:22:00,173.855,,
15:24:00,766.4083333,15:24:00,179.7966667,,
15:26:00,762.1133333,15:26:00,179.9833333,,
15:28:00,755.1433333,15:28:00,176.0583333,,
15:30:00,750.28,15:30:00,172.3766667,,
15:32:00,744.385,15:32:00,169.1133333,,
15:34:00,736.2833333,15:34:00,167.65,,
15:36:00,733.17,15:36:00,170.2583333,,
15:38:00,732.0333333,15:38:00,171.715,,
15:40:00,740.395,15:40:00,180.225,,
15:42:00,739.9216667,15:42:00,183.955,,
15:44:00,732.4833333,15:44:00,176.31,,
15:46:00,728.6133333,15:46:00,172.3616667,,
15:48:00,710.355,15:48:00,172.9583333,,
15:50:00,733.0933333,15:50:00,177.7466667,,
15:52:00,675.36,15:52:00,175.8216667,,
15:54:00,730.5433333,15:54:00,178.9,,
15:56:00,707.455,15:56:00,182.175,,
15:58:00,716.9966667,15:58:00,182.81,,
16:00:00,717.085,16:00:00,173.21,,
16:02:00,700.4416667,16:02:00,171.6283333,,
16:04:00,698.345,16:04:00,171.9233333,,
16:06:00,699.7283333,16:06:00,175.25,,
16:08:00,701.105,16:08:00,177.72,,
16:10:00,704.9966667,16:10:00,186.215,,
16:12:00,702.8883333,16:12:00,191.4533333,,
16:14:00,696.5383333,16:14:00,192.5816667,,
16:16:00,685.0716667,16:16:00,187.5616667,,
16:18:00,677.41,16:18:00,183.55,,
16:20:00,675.22,16:20:00,182.11,,
16:22:00,670.7933333,16:22:00,183.04,,
16:24:00,664.67,16:24:00,183.19,,
16:26:00,661.6416667,16:26:00,186.495,,
16:28:00,662.7933333,16:28:00,192.855,,
16:30:00,659.0233333,16:30:00,192.4216667,,
16:32:00,653.2383333,16:32:00,188.2833333,,
16:34:00,650.0216667,16:34:00,183.9133333,,
16:36:00,623.085,16:36:00,181.0083333,,
16:38:00,587.6216667,16:38:00,178.2383333,,
16:40:00,598.5333333,16:40:00,183.4766667,,
16:42:00,546.2866667,16:42:00,188.425,,
16:44:00,558.4483333,16:44:00,188.3966667,,
16:46:00,574.5366667,16:46:00,187.0933333,,
16:48:00,567.0433333,16:48:00,188.17,,
16:50:00,582.5033333,16:50:00,190.805,,
16:52:00,584.8466667,16:52:00,194.8566667,,
16:54:00,570.3666667,16:54:00,191.74,,
16:56:00,554.2933333,16:56:00,184.82,,
16:58:00,536.745,16:58:00,185.025,,
17:00:00,473.305,17:00:00,185.7616667,,
17:02:00,465.1383333,17:02:00,187.0066667,,
17:04:00,447.51,17:04:00,193.6666667,,
17:06:00,463.485,17:06:00,195.7916667,,
17:08:00,450.8283333,17:08:00,199.4033333,,
17:10:00,444.8083333,17:10:00,204.325,,
17:12:00,458.1483333,17:12:00,209.2933333,,
17:14:00,449.1283333,17:14:00,210.7666667,,
17:16:00,481.0866667,17:16:00,211.56,,
17:18:00,498.0566667,17:18:00,215.5383333,,
17:20:00,440.3766667,17:20:00,219.1016667,,
17:22:00,416.9033333,17:22:00,213.8033333,,
17:24:00,425.7066667,17:24:00,208.245,,
17:26:00,413.465,17:26:00,208.67,,
17:28:00,406.3983333,17:28:00,213.175,,
17:30:00,397.4933333,17:30:00,222.1083333,,
17:32:00,398.2983333,17:32:00,221.4866667,,
17:34:00,419.8866667,17:34:00,224.5233333,,
17:36:00,472.115,17:36:00,231.3516667,,
17:38:00,468.7816667,17:38:00,235.3416667,,
17:40:00,383.3216667,17:40:00,230.6133333,,
17:42:00,350.8016667,17:42:00,218.5916667,,
17:44:00,291.075,17:44:00,203.84,,
17:46:00,238.2833333,17:46:00,191.7933333,,
17:48:00,228.5866667,17:48:00,184.1083333,,
17:50:00,236.5166667,17:50:00,185.905,,
17:52:00,243.1933333,17:52:00,191.8466667,,
17:54:00,227.4033333,17:54:00,195.4083333,,
17:56:00,228.4683333,17:56:00,196.4016667,,
17:58:00,238.2666667,17:58:00,200.705,,
18:00:00,243.7816667,18:00:00,205.1733333,,
18:02:00,244.4183333,18:02:00,208.895,,
18:04:00,259.3316667,18:04:00,213.5016667,,
18:06:00,271.4616667,18:06:00,218.2933333,,
18:08:00,283.41,18:08:00,222.1733333,,
18:10:00,262.6433333,18:10:00,217.93,,
18:12:00,276.55,18:12:00,215.755,,
18:14:00,296.6333333,18:14:00,214.2266667,,
18:16:00,289.82,18:16:00,207.4,,
18:18:00,246.8916667,18:18:00,198.3966667,,
18:20:00,232.1233333,18:20:00,185.3416667,,
18:22:00,205.9783333,18:22:00,172.19,,
18:24:00,193.0883333,18:24:00,163.9566667,,
18:26:00,194.595,18:26:00,161.4383333,,
18:28:00,220.8583333,18:28:00,163.0133333,,
18:30:00,251.5616667,18:30:00,168.435,,
18:32:00,257.4583333,18:32:00,173.225,,
18:34:00,250.2833333,18:34:00,175.7533333,,
18:36:00,236.8883333,18:36:00,178.1333333,,
