Minute,T_air (°C),T_globe (°C),Air_speed (m/s)
2025-03-14 10:56:00,20.509366666666665,21.14816666666667,0.11380358891666667
2025-03-14 10:57:00,20.29875,21.082183333333333,0.19655664706666667
2025-03-14 10:58:00,20.094283333333333,20.981533333333335,0.17078377366666667
2025-03-14 10:59:00,19.984166666666667,20.868116666666666,0.15533283138333334
2025-03-14 11:00:00,19.93998333333333,20.770033333333334,0.13981483701666667
2025-03-14 11:01:00,19.9338,20.69895,0.16656700798333332
2025-03-14 11:02:00,19.94183333333333,20.65445,0.11929932596666666
2025-03-14 11:03:00,19.98868333333333,20.627866666666666,0.6353667138500001
2025-03-14 11:04:00,20.107883333333334,20.599483333333335,0.81949246315
2025-03-14 11:05:00,20.18071666666667,20.58148333333333,0.67218188955
2025-03-14 11:06:00,20.18215,20.572466666666667,0.6004462269166667
2025-03-14 11:07:00,20.132516666666668,20.550900000000002,0.6832465352
2025-03-14 11:08:00,20.1019,20.5147,0.6088224473666667
2025-03-14 11:09:00,20.075816666666665,20.4744,0.7430096968500001
2025-03-14 11:10:00,20.05395,20.43181666666667,0.8097856299666667
2025-03-14 11:11:00,20.0989,20.40103333333333,0.6030450831333333
2025-03-14 11:12:00,20.087133333333334,20.396333333333335,0.15015836505
2025-03-14 11:13:00,20.0166,20.400250000000003,0.11793711903333334
2025-03-14 11:14:00,19.936733333333333,20.404433333333333,0.12067030663333332
2025-03-14 11:15:00,19.874,20.403,0.063934096
