,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
1795,39.82169553753703,X,X,3/14/2025 9:44
1796,34.660935949558706,X,X,3/14/2025 9:44
1797,41.02463926146285,X,X,3/14/2025 9:44
1798,31.830514960900864,X,X,3/14/2025 9:44
1818,32.6799051271239,X,X,3/14/2025 9:45
1819,33.066687878380954,X,X,3/14/2025 9:45
1820,26.22591289064118,X,Cat III,3/14/2025 9:45
1821,24.52342363391966,X,Cat III,3/14/2025 9:45
1822,24.10059846656609,X,Cat III,3/14/2025 9:45
1839,42.56731056088381,X,X,3/14/2025 9:45
1840,39.42292890738219,X,X,3/14/2025 9:45
1841,40.03376252187741,X,X,3/14/2025 9:45
1842,38.32484952551833,X,X,3/14/2025 9:45
1845,22.285698605229463,X,Cat III,3/14/2025 9:45
1860,40.578235546671756,X,X,3/14/2025 9:46
1861,36.84864749259777,X,X,3/14/2025 9:46
1862,37.589009829525004,X,X,3/14/2025 9:46
1863,30.796734382750806,X,X,3/14/2025 9:46
1864,40.96811252275684,X,X,3/14/2025 9:46
1865,29.586185485182508,X,Cat III,3/14/2025 9:46
1866,28.582184180231902,X,Cat III,3/14/2025 9:46
1867,21.685004235774144,X,Cat III,3/14/2025 9:46
1883,33.810564780535216,X,X,3/14/2025 9:46
1884,39.32786279552703,X,X,3/14/2025 9:46
1885,36.57861715808654,X,X,3/14/2025 9:46
1886,32.05010338953128,X,X,3/14/2025 9:46
1887,42.535753375447314,X,X,3/14/2025 9:46
1888,27.444882407236438,X,Cat III,3/14/2025 9:46
1889,20.416265025047117,X,Cat III,3/14/2025 9:46
1906,25.97908517912246,X,Cat III,3/14/2025 9:46
1907,35.748004714912256,X,X,3/14/2025 9:46
1908,39.51656205204735,X,X,3/14/2025 9:46
1909,41.83401277501012,X,X,3/14/2025 9:46
1910,33.89489149742589,X,X,3/14/2025 9:46
1911,28.784268399973705,X,Cat III,3/14/2025 9:46
1912,20.013780974310265,X,Cat III,3/14/2025 9:46
1928,26.01525198651716,X,Cat III,3/14/2025 9:47
1929,35.98082613263817,X,X,3/14/2025 9:47
1930,27.844115277958117,X,Cat III,3/14/2025 9:47
1931,33.04840445041132,X,X,3/14/2025 9:47
1932,31.97827173192687,X,X,3/14/2025 9:47
1933,22.722427777366697,X,Cat III,3/14/2025 9:47
1950,24.605639075749504,X,Cat III,3/14/2025 9:47
1951,35.978393983675474,X,X,3/14/2025 9:47
1952,30.37242215068934,X,X,3/14/2025 9:47
1953,31.498846568335406,X,X,3/14/2025 9:47
1954,34.46929886604353,X,X,3/14/2025 9:47
